ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,13878,12456,117935,117936,117878,117879,117879,19721,117880
1,13878,27873,117978,117979,117884,117879,117886,19721,117880
1,13878,13262,118219,118220,118221,117879,117879,19721,117880
1,13878,12466,119402,119403,117895,117879,117897,19721,117880
1,13878,13278,118219,118220,117912,117879,117897,19721,117880
0,13878,54258,117890,118102,117878,117879,117879,19721,117880
1,13878,13199,117951,117952,117941,117879,117879,19721,117880
1,13878,13386,118219,118220,118221,117879,117897,19721,117880
0,13878,13037,118006,118007,118008,117879,117897,19721,117880
1,13878,14861,117890,117891,117878,117879,117879,19721,117880
1,13878,26172,118084,118085,117941,117879,117886,19721,117880
1,13878,22353,118138,118139,117884,117879,117886,19721,117880
1,13878,56775,117916,117917,117884,117879,117886,19721,117880
1,13878,6859,117978,117979,117884,117879,117886,19721,117880
1,13878,75345,118126,118237,117895,117879,117897,19721,117880
1,13878,12264,117929,117940,117941,117879,281735,19721,117880
1,13878,119058,118079,118080,117878,117879,118177,19721,117880
1,13878,50509,118079,118080,117878,117879,118177,19721,117880
0,13878,23666,118084,118085,117920,117879,117886,19721,117880
1,13878,55827,117929,117940,117941,117879,117886,19721,117880
1,13878,22871,118219,118220,118008,117879,117897,19721,117880
1,13878,58503,117975,117976,117884,117879,117886,19721,117880
1,13878,20440,117890,117891,117878,117879,117879,19721,117880
1,13878,65175,117993,117994,117895,117879,117897,19721,117880
1,13878,20439,117890,118102,117878,117879,117879,19721,117880
1,13878,57659,118084,118085,117884,117879,117886,19721,117880
1,13878,51165,117983,117984,117878,117879,117879,19721,117880
0,13878,11988,118742,118743,117941,117879,117897,19721,117880
1,13878,12191,117876,117877,117878,117879,117879,19721,117880
1,13878,58457,117926,118266,117941,117879,117886,19721,117880
1,13878,27511,118120,118121,117941,117879,117886,19721,117880
1,13878,1549,118084,118085,117884,117879,117886,19721,117880
0,13878,27515,118953,118954,117884,117879,117886,19721,117880
1,13878,3941,117876,117877,117878,117879,117879,19721,117880
1,13878,58648,118120,118121,124051,117879,145545,19721,117880
1,13878,19881,118006,118007,117941,117879,117897,19721,117880
0,13878,19885,117978,119216,117912,117879,121445,19721,117880
1,13878,54321,117890,117891,117878,117879,117879,19721,117880
1,13878,666,117926,118124,117941,117879,124672,19721,117880
1,13878,84129,118000,118001,117941,117879,117897,19721,117880
1,13878,22363,118084,118085,117912,117879,117886,19721,117880
0,13878,22945,118219,118220,122001,117879,117897,19721,117880
1,13878,27890,118084,118085,117884,117879,117886,19721,117880
0,13878,27758,118006,118007,117941,117879,117897,19721,117880
1,13878,71982,117916,118011,117884,117879,117886,19721,117880
1,13878,46805,117929,117930,117884,117879,117886,19721,117880
1,13878,17687,118219,118220,117941,117879,128781,19721,117880
1,13878,57699,117935,117936,117878,117879,117879,19721,117880
1,13878,25760,118006,118007,118008,117879,122240,19721,117880
0,13878,17687,118219,118220,117941,117879,117897,19721,117880
1,13878,4299,117876,117877,117878,117879,117879,19721,117880
1,13878,12759,117980,117981,117941,117879,117886,19721,117880
0,13878,4560,117890,118102,117878,117879,117879,19721,117880
1,13878,46546,117978,117979,117912,117879,117886,19721,117880
1,13878,56026,117983,117984,117878,117879,117879,19721,117880
1,13878,27818,117916,117917,117884,117879,117886,19721,117880
1,13878,84129,118000,118001,117941,117879,121396,19721,117880
1,13878,14575,118006,118007,118008,117879,117897,19721,117880
1,13878,73001,117910,118855,117884,117879,117886,19721,117880
1,13878,58511,117890,117891,117878,117879,117879,19721,117880
1,13878,58704,117916,118011,117884,117879,117886,19721,117880
1,13878,21327,117916,117917,117920,117879,117886,19721,117880
1,13878,14890,117935,117936,117878,117879,117879,19721,117880
1,13878,56026,117983,117984,117878,117879,119057,19721,117880
1,13878,13180,118084,118085,117884,117879,117886,19721,117880
1,13878,23586,118084,118085,117884,117879,117886,19721,117880
1,13878,6340,118114,118115,117941,117879,186846,19721,117880
1,13878,20510,118219,118220,117912,117879,117897,19721,117880
1,13878,26070,118212,118580,117895,117879,117897,19721,117880
1,13878,12259,117918,117919,117884,117879,117886,19721,117880
1,13878,56604,118079,118080,117878,117879,118177,19721,117880
1,13878,100147,117951,117952,117941,117879,117879,19721,117880
1,13878,53396,117916,118150,117920,117879,117886,19721,117880
1,13878,20648,118219,118220,117941,117879,117879,19721,117880
1,13878,54986,117935,117936,117878,117879,117879,19721,117880
1,13878,50320,117980,119762,117941,117879,117886,19721,117880
1,13878,91335,118084,118085,117884,117879,117886,19721,117880
1,13878,50313,118976,118977,117895,117879,118250,19721,117880
0,13878,25768,118006,118007,118008,117879,117897,19721,117880
1,13878,22345,118106,118107,117941,117879,117886,19721,117880
1,13878,91334,118084,118085,117912,117879,117886,19721,117880
1,13878,20596,118095,118096,117941,117879,117897,19721,117880
1,13878,53223,117876,117877,117878,117879,117879,19721,117880
1,13878,96751,117929,117930,117884,117879,117886,19721,117880
1,13878,25768,118006,118007,118008,117879,122240,19721,117880
1,13878,119430,117932,117933,117878,117879,117879,19721,117880
1,13878,71983,117932,117933,117878,117879,117879,19721,117880
0,13878,50581,118114,118115,117884,117879,117886,19721,117880
1,13878,68590,117932,117933,117878,117879,117879,19721,117880
0,13878,53205,118095,118096,118008,117879,117897,19721,117880
1,13878,60086,118003,118004,117878,117879,117879,19721,117880
1,13878,8272,119740,119741,117895,117885,117913,117887,117888
1,13878,50222,118079,118080,117878,117885,118177,117887,117888
1,13878,56679,118079,118080,117878,117885,118177,117887,117888
1,13878,57517,118120,118121,117941,117885,117913,117887,117888
1,13878,80413,118163,118164,117878,117885,117879,117887,117888
1,13878,55842,117893,117894,117895,117896,117897,117887,117898
1,13878,61231,119178,119179,117895,117896,117913,117887,117898
1,13878,56384,117893,117894,117895,117896,117897,117887,117898
1,13878,67346,118126,118237,117895,117896,117897,117887,117898
1,13878,25772,118006,118007,117941,117899,117897,19721,117900
1,13878,19350,118095,118096,117941,117899,117899,19721,117900
1,13878,25487,5110,117954,117895,117899,117897,19721,117900
1,13878,4135,117890,118102,117878,117899,123862,19721,117900
1,13878,13278,118219,118220,118221,117899,117899,19721,117900
1,13878,19679,117935,117936,117878,117899,117899,19721,117900
1,13878,123367,117932,117933,117878,117899,121756,19721,117900
1,13878,19706,117935,117936,117878,117899,117899,19721,117900
1,13878,20434,117890,117891,117878,117899,123862,19721,117900
1,13878,14890,117935,117936,117878,117899,117899,19721,117900
1,13878,4299,117876,117877,117878,117899,121756,19721,117900
1,13878,17033,118095,118096,117920,117899,117899,19721,117900
1,13878,14135,117890,117891,117878,117899,123862,19721,117900
1,13878,14650,118219,118220,117920,117899,117899,19721,117900
1,13878,20708,118602,118603,117941,117899,117899,19721,117900
1,13878,31435,118126,118237,117895,117899,267952,19721,117900
1,13878,71279,118219,118220,118221,117899,117897,19721,117900
1,13878,6618,118602,118603,117941,117899,128628,19721,117900
1,13878,54294,118219,118220,117941,117899,260699,19721,117900
1,13878,50550,117893,117894,117895,117899,117897,19721,117900
1,13878,1736,117961,119256,119257,117946,299126,292795,117948
1,13878,23771,117929,117930,119569,179731,118247,117887,117973
1,13878,2836,118169,118170,118556,118047,121204,117887,118049
1,13878,1550,117961,118225,123173,118054,120514,117887,118055
1,13878,1550,117961,118225,123173,118054,121311,117887,118055
1,13878,13180,118084,118085,117920,118129,132803,118131,118132
1,13878,13217,117993,117994,118360,118129,118129,118131,118132
1,13878,7016,117961,118300,119181,118321,117906,290919,118322
1,13878,17598,117961,118300,118631,307024,132719,118331,118332
0,13878,14855,117961,118300,123719,118451,153802,118453,118454
1,13878,54261,117890,117891,117878,118568,123862,19721,118570
1,13878,14353,5110,117954,117895,118568,281735,19721,118570
1,13878,27611,117916,117917,117920,118568,122142,19721,118570
1,13878,71556,117916,118150,117884,118568,281735,19721,118570
1,13878,50495,117910,117911,117941,118568,142278,19721,118570
0,13878,25766,118006,118007,118008,118568,122240,19721,118570
1,13878,57517,118120,118121,117941,118568,174034,19721,118570
1,13878,46805,117929,117930,117920,118568,281735,19721,118570
1,13878,11556,118602,118603,117941,118568,118568,19721,118570
1,13878,13386,118219,118220,118221,118568,268194,19721,118570
1,13878,13047,118095,118096,118008,118568,118568,19721,118570
1,13878,53230,117876,117877,117878,118568,292195,19721,118570
1,13878,77495,118192,118193,117895,118568,281735,19721,118570
1,13878,31158,5110,117954,117895,118568,281735,19721,118570
1,13878,77950,117916,118150,117941,118568,281735,19721,118570
1,13878,56052,118219,118220,117920,118568,306742,19721,118570
1,13878,21162,118095,118096,118008,118568,125652,19721,118570
1,13878,67326,117910,117911,117884,118568,244384,19721,118570
1,13878,22356,117926,118124,117920,118568,122142,19721,118570
1,13878,47104,117890,117891,117878,118568,117899,19721,118570
1,13878,54261,117890,117891,117878,118568,292195,19721,118570
1,13878,1549,118084,118085,117920,118568,310732,19721,118570
1,13878,12733,118120,118121,117941,118568,156279,19721,118570
0,13878,1999,118185,31010,117920,118568,147516,19721,118570
0,13878,9959,118742,118743,117920,118568,120997,19721,118570
1,13878,46568,117989,117990,117884,118568,147502,19721,118570
1,13878,58488,117916,117917,117920,118568,186980,19721,118570
1,13878,65834,117983,117984,117878,118568,292195,19721,118570
1,13878,14289,118602,118603,117941,118568,125168,19721,118570
1,13878,48801,117926,118266,117941,118568,292546,19721,118570
1,13878,6035,117890,117891,117878,118568,292195,19721,118570
1,13878,6036,117983,117984,117878,118568,139169,19721,118570
1,13878,54321,117890,117891,117878,118568,122240,19721,118570
1,13878,27818,117916,117917,117912,118568,117886,19721,118570
1,13878,20432,117890,117891,117878,118568,122240,19721,118570
1,13878,14674,11146,118491,117920,118568,163031,19721,118570
1,13878,52228,117983,117984,117878,118568,117913,19721,118570
1,13878,17002,5110,117954,117895,118568,281735,19721,118570
1,13878,60180,117916,118011,117941,118568,281735,19721,118570
0,13878,61960,117910,117911,117941,118568,117886,19721,118570
1,13878,19706,117935,117936,117878,118568,118568,19721,118570
1,13878,50340,118090,118091,117941,118568,131694,19721,118570
1,13878,57699,117935,117936,117878,118568,118568,19721,118570
1,13878,52423,119665,119666,117895,118568,267952,19721,118570
1,13878,58493,117918,117919,117941,118568,131694,19721,118570
1,13878,20496,118219,118220,117912,118568,136473,19721,118570
1,13878,50368,117926,118266,117884,118568,119907,19721,118570
1,13878,10386,118269,118270,117878,118568,118568,19721,118570
1,13878,2378,118003,118004,117878,118568,292195,19721,118570
1,13878,27552,117926,118266,117920,118568,148941,19721,118570
1,13878,13223,11146,118491,117941,118568,281735,19721,118570
1,13878,73001,117910,118855,117884,118568,130023,19721,118570
1,13878,25445,118023,118024,117895,118568,281735,19721,118570
1,13878,56776,117916,117917,117941,118568,128163,19721,118570
1,13878,19858,117929,117940,117941,118568,140630,19721,118570
1,13878,25766,118006,118007,118008,118568,292195,19721,118570
1,13878,46559,117989,117990,117884,118568,125259,19721,118570
1,13878,14537,118185,31010,117941,118568,122535,19721,118570
1,13878,19857,117929,117940,117920,118568,281735,19721,118570
1,13878,2163,118219,118220,120694,118777,130218,308574,118779
1,13878,7337,117961,118343,124725,118784,117906,290919,118786
1,13878,5741,117961,118446,16232,118784,139332,290919,118786
1,13878,17881,117961,118300,121030,118801,311498,19793,118803
0,13878,17916,117961,118446,118810,118811,120697,19793,118813
1,13878,57816,118219,118220,118810,118811,128802,19793,118813
1,13878,124033,124034,124035,117945,280788,126042,292795,119082
1,13878,1541,117961,118225,123173,119093,120324,119095,119096
1,13878,6879,117902,118041,119238,119093,119239,119095,119096
1,13878,6986,119062,119091,120323,119093,119094,119095,119096
0,13878,46536,118185,31010,117920,119323,119456,19793,119325
1,13878,8781,118084,118085,117920,119323,119456,19793,119325
0,13878,57819,117980,117981,118810,119323,167397,19793,119325
1,13878,14716,118114,118115,118810,119323,120978,19793,119325
1,13878,12757,118120,118121,117920,119323,123932,19793,119325
1,13878,22853,117961,118386,118896,119849,182753,118638,119851
1,13878,8785,117961,117962,117904,119949,230830,290919,119951
1,13878,1930,122880,122974,122870,120097,159929,270488,120099
1,13878,16850,117961,118225,119092,120591,120592,119095,120593
1,13878,3281,117961,118225,120323,120591,120592,119095,120593
1,13878,84718,117961,118225,121716,120611,221283,249618,120613
1,13878,1541,117961,118225,123173,120812,123174,118638,120814
1,13878,20126,117961,118386,120677,122067,206347,118424,122069
1,13878,13234,117922,117923,117920,122142,122142,19721,122143
1,13878,12543,117961,118300,119019,125751,235741,118870,125753
0,13878,23610,118084,118085,117920,127031,131967,120134,127032
1,13878,20508,118219,118220,117941,127700,125168,19721,127702
1,13878,2518,117961,118300,19772,132096,266851,119095,132098
1,13878,57633,117989,117990,118810,134067,305581,19793,134069
1,13878,117887,117961,117969,123766,162860,162861,155173,162862
1,13878,110921,117932,117933,117878,216825,121386,19721,216827
